地域名,国名,課題タイトル,課題概要,参考ソース
北米,アメリカ,多数の車上荒らし,"サンフランシスコの住民は2023年に17,000件以上の車上荒らしに悩まされており、多くが報告されていない。",https://abc7news.com/san-francisco-ai-hackathon-accelerate-sf-artificial-intelligence/14019456/
北米,アメリカ,低所得者向け住宅確保,低所得者向け住宅確保を目指す都市開発者は、不足する住宅問題に直面している。,https://abc7news.com/san-francisco-ai-hackathon-accelerate-sf-artificial-intelligence/14019456/
北米,アメリカ,サンホゼ市内の交通安全対策の不足,サンホゼ市の交通利用者にとって、2023年6月までに21件の交通死亡事故が発生したことは深刻な課題です。前年同期の33件と比べ改善は見られるものの、これらの数字は市内の交通安全対策が依然として不十分であることを示しており、住民の安全を確保するために、更なる対策が必要とされています。,https://abc7news.com/city-of-san-jose-vision-zero-initiative-hackathon-pedestrian-traffic-deaths-artificial-intelligence/13486622/
北米,アメリカ,they 教育,高校生がジェンダーニュートラル（性別中立）なリレーションシップを築き上げる際に同性異性に対しての認識度を高めるための教育ニーズが進む一方で、供給に課題が残る。,https://www.youtube.com/watch?v=Le5KZkw5q2E
北米,アメリカ,NYトイレ問題,NYには公衆トイレが少なく、トイレ情報も整備されていないため、NY住民は不便を強いられている。適切なタイミングで適切なトイレにたどり着きたい。,https://secretnyc.co/website-shows-every-open-bathroom-nyc/
北米,アメリカ,サンフランシスコで年間600人以上の薬剤過剰摂取死亡者が急増,サンフランシスコの市民は、薬剤過剰摂取による死亡者数の急増という深刻な課題に直面しています。保健局は薬剤過剰摂取を減らすための対策を講じているものの、安全な摂取場所の設置は連邦法に反するため、実現には障壁が存在します。,"https://www.sfchronicle.com/podcasts/article/san-francisco-overdose-plan-18092317.php,  https://www.sfchronicle.com/projects/2022/fixing-san-francisco-problems/sfnext-about-the-project"
北米,アメリカ,先進道路をサポートし強化するインフラ開発の投資が不十分。,サンフランシスコの交通インフラは、自律走行車の増加と経済の拡大によりプレッシャーを受けています。自動運転に寄与するためのインフラ投資は行われていますが、SFMTAの予算は運賃や駐車料金などの収入で賄いきれず、交通サービスやインフラの維持に課題を抱えています。特に、COVID-19パンデミック前から存在する構造的な財政赤字は、一時的な資金移動で凌がれており、この状況が持続することは不可能とされています​,https://www.jetro.go.jp/biz/areareports/2023/bcdf631c4ffdb352.html
北米,ハワイ（アメリカ）,鎮痛剤オピオイド危機が米国経済に与える影響,1999年以降、64万5千人がオピオイドの過剰使用により死亡。危機により雇用減少、社会保障への申請が増加し、生産性の低下、医療費の経済的コストが増加。労働力率の低下で企業は大きな被害を受けている。,https://www.cdc.gov/opioids/basics/epidemic.html https://www.brookings.edu/articles/the-economic-impact-of-the-opioid-epidemic/
北米,ハワイ（アメリカ）,米国での労働力不足問題と企業に与える影響,コロナ禍によりハワイ州の労働市場は混乱し、特に観光業を中心とする産業で労働力不足が顕著です。多くの労働者が退職し、企業は働き手を維持するための課題に直面。労働者はより良いワークライフバランスと企業文化を求め、働き方の変革が求められています,https://www.uschamber.com/workforce/understanding-americas-labor-shortage-the-most-impacted-industries
北米,ハワイ（アメリカ）,米国の高額な医療保険費が人々の生活を苦しめる,米国の中低所得層の市民は、医療保険費の高騰により医療費債務を背負い、必要な医療サービスを受けられない状況に苦しんでいる。債務額は880億ドルに上り、年間約53万人もの人が自己破産している。,https://www.forbes.com/sites/debgordon/2023/10/26/half-of-americans-struggle-to-afford-healthcare-costs-new-study-shows/?sh=342f70d35225 https://apnews.com/article/medical-debt-legislation-2a4f2fab7e2c58a68ac4541b8309c7aa
